,CIK,cusip,CompName,folder_name,folder_path,at,lt,che,ni,sale,execrank,becameceo,gender,exchange,state,zip,FF_48,prc_0220,shrout_0220,prc_0325,shrout_0325,prc_0630,shrout_0630,prc_0930,shrout_0930,prc_1230,shrout_1230,ret_0220_0325,ret_0325_0630,ret_0220_0630,ret_0220_0930,ret_0220_1230,exchange_id,gender_id,state_id,days_becameceo
0,1000228.0,80640710,HENRY SCHEIN INC,0001000228-20-000018,QTR1\0001000228-20-000018,7151.101,3233.706,106.097,694.734,9985.803,1.0,1989-01-01,MALE,NAS,NY,11747,41,68.91999816894531,143391.0,50.029998779296875,142756.0,58.38999938964844,142438.0,58.779998779296875,142456.0,65.83999633789062,142776.0,-0.27408589511774084,0.1670997564327555,-0.15278582500081364,-0.1471270989414713,-0.04468952282187533,1,1,31,11687.0
1,75252.0,69073210,OWENS & MINOR INC/VA/,0000075252-20-000021,QTR1\0000075252-20-000021,3643.084,3180.93,67.03,-62.371,9210.939,1.0,2019-03-07,MALE,NYS,VA,23116,41,7.150000095367432,62852.0,5.650000095367432,62852.0,7.619999885559082,63008.0,25.110000610351562,63765.0,27.760000228881836,73512.0,-0.20979020699200654,0.34867252335215,0.06573423551367065,2.5118881504100434,2.882517462743513,2,1,45,665.0
2,891024.0,70339510,"PATTERSON COMPANIES, INC.",0000891024-20-000008,QTR2\0000891024-20-000008,2715.35,1878.906,77.944,-588.446,5490.011,1.0,2017-11-20,MALE,NAS,MN,55120,41,22.610000610351562,95792.0,17.010000228881836,95806.0,22.0,95975.0,24.104999542236328,96354.0,30.209999084472656,96504.0,-0.2476780287615681,0.29335683150935415,-0.02697923900419026,0.06612113629047442,0.3361343772207409,1,1,23,1137.0
3,1000229.0,N2271710,CORE LABORATORIES N V,0001564590-20-004075,QTR1\0001564590-20-004075,774.673,592.533,11.092,101.983,668.21,1.0,1994-01-01,MALE,NYS,,1077,30,32.68000030517578,44375.0,10.270000457763672,44446.0,20.31999969482422,44457.0,15.260000228881836,44484.0,26.729999542236328,44495.0,-0.6857405030030819,0.9785782657354398,-0.37821298944094606,-0.5330477329749292,-0.18206856509720123,2,1,-1,9861.0
4,1109189.0,06985P20,"BASIC ENERGY SERVICES, INC.",0001109189-20-000059,QTR1\0001109189-20-000059,550.474,509.351,36.217,-181.898,567.25,1.0,2013-09-03,MALE,OTH,TX,76102,30,,,,,,,,,,,,,,,,3,1,43,2676.0
5,1681459.0,G8711010,TechnipFMC plc,0001681459-20-000004,QTR1\0001681459-20-000004,23518.8,15789.6,5239.9,-2415.2,13409.1,1.0,2017-01-11,MALE,NYS,,0,30,17.239999771118164,447065.0,6.980000019073486,447065.0,6.840000152587891,448303.0,6.309999942779541,449332.0,9.619999885559082,449408.0,-0.5951276037272956,-0.020057287407311362,-0.6032482457426241,-0.6339907177173771,-0.44199535885868857,2,1,-1,1450.0
6,1701605.0,05722G10,Baker Hughes Co,0001701605-20-000019,QTR1\0001701605-20-000019,53369.0,18870.0,3249.0,128.0,23838.0,1.0,2017-07-01,MALE,NYS,TX,77073,30,20.65999984741211,649869.0,11.619999885559082,653510.0,15.390000343322754,655035.0,13.289999961853027,656325.0,21.209999084472656,685817.0,-0.43756050477344927,0.324440662211098,-0.25508226248847143,-0.3567279738621225,0.026621454071764684,2,1,43,1279.0
7,1738827.0,48253L20,"KLX Energy Services Holdings, Inc.",0001558370-20-003078,QTR1\0001558370-20-003078,623.4,311.2,123.5,-96.4,544.0,3.0,2018-09-14,MALE,NAS,FL,33414,30,3.119999885559082,24743.0,0.8799999952316284,24743.0,2.1500000953674316,24862.0,4.150000095367432,8402.0,6.579999923706055,8427.0,-0.7179487091314625,1.4431819397925352,-0.31089738005481793,0.33012828448350434,1.1089744118778917,1,1,9,839.0
8,320575.0,72366410,PIONEER ENERGY SERVICES CORP,0000320575-20-000003,QTR1\0000320575-20-000003,673.954,569.878,25.617,-63.904,575.792,1.0,2003-12-01,MALE,OTH,TX,78209,30,,,,,,,,,,,,,,,,3,1,43,6240.0
9,45012.0,40621610,HALLIBURTON CO,0000045012-20-000031,QTR1\0000045012-20-000031,25377.0,17352.0,2268.0,-1131.0,22408.0,1.0,2017-06-01,MALE,NYS,TX,77032,30,21.950000762939453,877804.0,6.769999980926514,879911.0,12.979999542236328,877278.0,12.050000190734863,878470.0,19.1200008392334,884007.0,-0.6915717655756517,0.9172820648161863,-0.40865607785527475,-0.45102506733939735,-0.12892937700869003,2,1,43,1309.0
10,73756.0,67523210,OCEANEERING INTERNATIONAL INC,0000073756-20-000018,QTR1\0000073756-20-000018,2740.663,1665.254,383.834,-348.444,2048.124,1.0,2017-05-05,MALE,NYS,TX,77041,30,13.569999694824219,98930.0,3.9100000858306885,98933.0,6.389999866485596,99268.0,3.5199999809265137,99287.0,7.960000038146973,99305.0,-0.711864393974746,0.6342710297225034,-0.5291083264413906,-0.7406042697061306,-0.41341192209584027,2,1,43,1336.0
11,742278.0,74966010,RPC INC,0001104659-20-027017,QTR1\0001104659-20-027017,1053.218,222.885,50.023,-87.111,1222.409,1.0,2003-04-22,MALE,NYS,GA,30329,30,4.320000171661377,214500.0,2.4700000286102295,214500.0,3.0799999237060547,215260.0,2.640000104904175,215123.0,3.2100000381469727,215068.0,-0.4282407568376735,0.24696351742111022,-0.28703708302827347,-0.3888888888888889,-0.25694446514050084,2,1,10,6463.0
12,844965.0,88162F10,TETRA TECHNOLOGIES INC,0000844965-20-000002,QTR1\0000844965-20-000002,1271.922,1109.096,17.768,-147.413,1037.933,4.0,2009-05-05,MALE,NYS,TX,77380,30,1.4199999570846558,125541.0,0.3573000133037567,125541.0,0.534500002861023,125899.0,0.5108000040054321,125838.0,0.8822000026702881,125977.0,-0.748380264716828,0.4959417379215729,-0.6235915359051255,-0.6402816764486846,-0.3787323737097168,2,1,43,4258.0
13,866829.0,42330P10,HELIX ENERGY SOLUTIONS GROUP INC,0000866829-20-000007,QTR1\0000866829-20-000007,2596.731,893.685,262.561,57.919,751.909,1.0,2008-02-04,MALE,NYS,TX,77043,30,8.890000343322754,148809.0,2.140000104904175,149962.0,3.4700000286102295,150005.0,2.4100000858306885,150059.0,4.179999828338623,150161.0,-0.7592800874848649,0.6214952609853305,-0.609673802631905,-0.7289088872037187,-0.5298088113710586,2,1,43,4714.0
14,87347.0,80685710,SCHLUMBERGER LIMITED/NV,0001564590-20-001578,QTR1\0001564590-20-001578,56312.0,32136.0,2167.0,-10137.0,32917.0,1.0,2011-08-01,MALE,NYS,TX,77056,30,33.83000183105469,1384515.0,14.600000381469727,1388162.0,18.389999389648438,1387813.0,15.5600004196167,1388102.0,21.8799991607666,1392030.0,-0.5684303993129711,0.25958896638036844,-0.456399692749437,-0.5400532197035474,-0.3532368319093151,2,1,43,3440.0
15,886835.0,86815730,SUPERIOR ENERGY SERVICES INC,0000886835-20-000004,QTR1\0000886835-20-000004,1993.23,1943.657,272.624,-255.721,1425.369,1.0,2010-04-29,MALE,OTH,TX,77002,30,,,,,,,,,,,,,,,,3,1,43,3899.0
